"","Values","Names","Ranking"
"1",9.73490196078431,"Sport",0
"2",8.625,"Stress",0
"3",9.19142857142857,"Ernährung",0
"4",6.41666666666667,"Sucht",0
"5",9.79181818181818,"Arbeitsunfälle",0
"6",10.7114285714286,"Atmosphäre",2
"7",11.8,"Weiterbildungen",5
"8",11.6534146341463,"Ergonomie",5
"9",10.36125,"IKT",1
"10",10.79,"Technostress",2
"11",11.0382142857143,"Familie",3
"12",6.2325,"Eltern",0
"13",7.45478260869565,"Kinderbetreuung",0
"14",7.35333333333333,"Frauen",0
"15",10.7033333333333,"WLB",2
